trial_id,group,system,a_w,n_droplets,delta_um,max_slope,alpha,y_near,y_far,r0_um,transition_width_um,S,r_break_um,zone_metric,dR_dr_um_per_mm,pearson_r,pearson_p,dtau50_dr,dtau50_dr_sizematched
agar.2,Agar,Hydrogel,1.0,2663,77.8,0.019651819677562,0.0008663615946121,13.06320673569616,58.42952906525104,,2308.5049157739327,1.2370770819203505,1900.0,0.44793126731203486,,,,0.10119047619047626,-0.041836273179556786
agar.3,Agar,Hydrogel,1.0,3185,92.4,0.0180448591444377,0.0009763793430743,15.3806168540159,52.34342085521426,50.00000000250712,2048.384179966959,1.2139133740737822,1700.0,0.4066172478258208,,,,-0.0036764705882352854,-0.0931372549019607
agar.4,Agar,Hydrogel,1.0,2088,163.5,0.0110500333910048,0.0023675141774838,52.51408069963408,61.84879429594161,1676.0359575076593,844.7679084758539,1.0777035358675882,2700.0,0.1440094571725997,,,,-0.08928571428571445,-0.23601398601398604
agar.5,Agar,Hydrogel,1.0,4358,100.1,0.0058765445260038,0.0012237089597053,37.12282464328739,46.72730531558551,1630.8781502035265,1634.3755466836226,1.201029405131367,2700.0,0.21419434937334256,,,,0.010212418300653609,-0.2205882352941177
agar.6,Agar,Hydrogel,1.0,2576,101.6,0.0103421282838834,0.0019950617397301,44.876495312556706,55.244222864970666,1151.13467664704,1002.4752418291296,1.158912678750561,2100.0,0.28522421466317427,,,,-0.07142857142857152,-0.24686716791979985
1to1.1,1:1,Hydrogel,0.87,2507,420.5,0.0389635174097643,0.0013307924672791,6.2031264144835,64.7599913919767,621.1833613537567,1502.8639319616132,1.4193070730375503,1700.0,0.7160949375417768,,,,1.0845588235294117,1.318361126053434
1to1.2,1:1,Hydrogel,0.87,5105,286.6,0.0288721432903519,0.0017321260218186,5.12972430129894,38.466956034632446,368.5739651788247,1154.6503977234554,1.3366984655305063,1300.0,0.5480249801160995,,,,0.8809523809523812,0.6373626373626375
1to1.3,1:1,Hydrogel,0.87,4207,420.1,0.0212665411826555,0.0011154899410799,6.412182905232222,44.5416906658606,488.1869887870291,1792.9341416236423,1.30362461601465,1900.0,0.5451004506454667,,,,1.2916666666666667,0.879120879120879
1to1.4,1:1,Hydrogel,0.87,4646,363.7,0.0084637992293114,0.0005768460701336,14.144356220013714,43.48944381799224,,3467.1294536798314,1.1955364151866634,2700.0,0.41383506145388516,,,,0.904761904761905,0.5695970695970696
1to1.5,1:1,Hydrogel,0.87,4377,462.7,0.027240754844811,0.0014072352631268,4.859647263390643,43.57492900566602,637.6609362289965,1421.2264661105785,1.438054469686812,1500.0,0.6916640653992212,,,,0.8601190476190478,0.8113553113553114
2to1.1,2:1,Hydrogel,0.75,4090,681.1,0.0290706016395362,0.0014787819845907,4.87998472811619,44.19693873818598,814.9954752525969,1352.464407086726,1.4006422859849503,1700.0,0.7849218829383061,,,,1.762820512820512,1.3181818181818181
2to1.2,2:1,Hydrogel,0.75,2228,803.2,0.0620133516726433,0.0034829219496319,20.183006019197094,55.79296373254578,1064.5615744477502,574.2304963828894,1.487657352007287,1500.0,0.8047258054522416,,,,1.744505494505494,1.4947552447552448
2to1.3,2:1,Hydrogel,0.75,5096,933.4,0.0279785327359506,0.0020419077639653,11.134557736110988,38.538863875401496,1108.1228294784937,979.4761718893768,1.322111653183733,1900.0,0.8336890433371741,,,,1.3344988344988344,1.083333333333333
2to1.4,2:1,Hydrogel,0.75,3100,872.9,0.0432388411642631,0.0020440009958916,5.78612298939271,48.09416613728904,1006.400050305746,978.4731044749618,1.435142210660222,1700.0,0.9111743689233588,,,,2.2474747474747474,1.6054778554778553
2to1.6,2:1,Hydrogel,0.75,2318,1005.4,0.0440422948796636,0.0019603773265806,7.756088679747957,52.68855579462107,1096.5317995573323,1020.2117586661116,1.3937293655272858,1700.0,0.7594737511987795,,,,2.1382783882783882,1.9040404040404038
Green.1,Green,Fungi,,3602,279.5,0.0649804572263991,0.0047961807136637,21.46920557177589,48.565956551687,415.13764269009783,416.998465946508,1.2748247578593288,900.0,0.41516834031416167,,,,0.4265565875472996,0.3543171654626763
Green.3,Green,Fungi,,3656,316.0,0.0516196971415064,0.0040420032659912,17.387690774444177,42.92933126534933,404.9564403407565,494.80415239336224,1.297689460675692,700.0,0.39539640538168896,,,,0.32593739250085996,0.2984176126590986
Green.3_new,Green,Fungi,,4882,297.8,0.0739818652102011,0.0045047755484428,5.06558123062271,37.911552984209834,306.15343141152783,443.97328534855706,1.2506933868757963,900.0,0.4086298572391622,,,,0.2806372549019608,0.18382352941176472
Green.4,Green,Fungi,,4101,285.6,0.0964427279339926,0.0173861961511679,27.467051112749964,38.56122341995863,300.4724423110695,115.03378787462071,1.1679321556974278,900.0,0.2956041119649539,,,,0.3946078431372549,0.13919413919413928
Green.5,Green,Fungi,,6927,311.7,0.0373267102309217,0.0025714076986515,3.892455826286003,32.92457722072363,366.4504242280272,777.7840911998512,1.3504156076588851,900.0,0.5702116089308698,,,,0.3860294117647059,0.32066993464052296
white.1,White,Fungi,,3652,198.5,0.045534866174344,0.0053302025343097,26.055170143911955,43.1407746331382,568.1332617306579,375.2202636065475,1.2999916647003114,1100.0,0.43289060394098683,,,,0.6710526315789472,0.32765737874097006
white.3,White,Fungi,,3260,126.2,0.0301740399576099,0.0013564144531815,6.714897235990772,51.20578257982553,254.1082400134877,1474.475589160014,1.4141915424037377,1100.0,0.5761258913955601,,,,0.4738562091503267,0.05637254901960796
white.4,White,Fungi,,1628,120.0,0.061276714601433,0.0022993409683709,11.860435160253086,65.15980697534081,326.07887329162486,869.8144501017554,1.2825491265991709,1300.0,0.4340706909239847,,,,0.8823529411764707,0.5070588235294118
white.5,White,Fungi,,3413,131.6,0.0266024719998811,0.0013893951768169,6.629032571663427,44.92263318833896,168.9003256134364,1439.47527195392,1.2555245607598249,1900.0,0.44800479920341885,,,,0.6515151515151515,0.0
white.6,White,Fungi,,2845,123.0,0.010789225056226,0.0005799958890835,7.990320486934811,45.194808516236826,,3448.300302887174,1.2637980926059262,900.0,0.448913363784162,,,,0.12641898864809087,0.0
Black.2,Black,Fungi,,4690,125.4,0.0045338105652009,0.0005884784110264,10.664779319671617,26.073366891449783,,3398.595364801061,1.229019981230449,700.0,0.2978083591796062,,,,0.0,0.0
black.3,Black,Fungi,,3142,98.0,0.0270574766955997,0.0015169895348767,7.363342295533403,43.03593735769865,76.46916060349065,1318.4006573667875,1.3162684308513413,700.0,0.40864733789518703,,,,0.07142857142857141,0.0
black.4,Black,Fungi,,4513,111.7,0.0129890251202041,0.0014714443834916,16.182412925664188,33.837208806405336,50.00000000066251,1359.2086948295646,1.27750672093492,500.0,0.24116574913462782,,,,1.25,
black.new,Black,Fungi,,8266,135.7,0.035809765682386,0.0039592097252819,5.532202449689536,23.621552682246666,259.5492957126894,505.15131523060546,1.229998024581046,700.0,0.5182419072399459,,,,0.2893772893772893,0.01373626373626376
black.new2,Black,Fungi,,5137,78.3,0.0507634916732956,0.0030316271822929,5.2685668214193715,38.757837513933104,108.04605723442803,659.7117256638769,1.2868591113738868,750.0,0.45617885603732533,,,,0.18661850705194358,0.07965686274509802
RSR1,Healthy,Leaf,,297,,,,,,,,,,,12.25,0.6236,2.115e-33,,
RSR2,Healthy,Leaf,,287,,,,,,,,,,,8.87,0.6584,4.924e-37,,
RSR7,Healthy,Leaf,,122,,,,,,,,,,,7.49,0.4342,5.816e-07,,
RSRDiseased3,Diseased,Leaf,,241,,,,,,,,,,,11.0,0.5675,6.045e-22,,
RSRDiseased5,Diseased,Leaf,,312,,,,,,,,,,,8.17,0.5752,7.08e-29,,
RSRDiseased6,Diseased,Leaf,,248,,,,,,,,,,,15.5,0.5561,1.549e-21,,
